Nombre,Edad,Posicion,Club,Liga,Nacionalidad,Calificacion,Porcentaje atajadas totales,Atajadas x partido totales,Atajadas totales,Pases x juego totales,Pases completos x partidos totales,Pases completos x cada 90 min,Pases totales,Duelos totales,Faltas recibidas x partido totales,Atajadas x cada 90 min totales,Duelos ganados totales,Bloqueos totales,Duelos aereos ganados x cada 90 min totales,Minutos x partido,Pases x cada 90 minutos totales,Faltas cometidas x cada 90 min totales,Duelos regate perdidos x cada 90 min totales,Pases completos totales,Regates existosos x partido totales,Tiros x partido totales,Tiros puerta x cada 90 min totales,Balones perdidos x cada 90 min totales,Faltas recibidas x cada 90 min totales,Duelos ganados x cada 90 min totales,Minutos x gol totales,Pases clave x partido totales,Participacion en goles x cada 90 min totales,Pases clave x cada 90 min totales,Pases clave totales
Carlos Uriel Antuna Romero,26,Forward,Cruz Azul,Liga MX,Mexico,8.991172761664565,,,,28.67,22.92,23.79,,,,,,,,,,,,,0.79,1.71,0.99,0.91,1.3,3.03,217.0,,,,
Emanuel Gularte Méndez,26,Defender,Queretaro,Liga MX,Uruguay,8.764186633039094,,,,27.54,,,771.0,,,,140.0,16.0,2.57,90.0,27.54,1.11,0.36,560.0,,,,,,,,,,,
Jesús Alberto Angulo Uriarte,26,Defender,Tigres UANL,Liga MX,Mexico,8.774274905422446,,,,43.84,,,1403.0,,,,143.0,8.0,1.17,84.0,47.1,1.24,0.74,1166.0,,,,,,,,,,,
Juan Francisco Brunetta,26,Midfielder,Tigres UANL,Liga MX,Argentina,9.26860025220681,,,,34.0,28.07,30.7,986.0,,,,,,,82.0,,,,814.0,,,,,,,,3.17,0.98,3.47,92.0
Julián Andrés Quiñones Quiñones,26,Forward,America,Liga MX,Colombia,9.092055485498108,,,,25.93,19.96,23.26,,,,,,,,,,,,,1.21,2.75,1.66,2.29,1.66,4.49,160.0,,,,
Kevin Alexander Balanta Lucumí,26,Defender,Tijuana,Liga MX,Colombia,8.718789407313997,,,,46.17,,,1108.0,,,,88.0,14.0,1.13,87.0,47.97,1.21,0.39,911.0,,,,,,,,,,,
Kevin Andrés Velasco Bonilla,26,Defender,Puebla,Liga MX,Colombia,8.756620428751576,,,,26.37,,,712.0,,,,102.0,1.0,0.35,77.0,31.12,1.66,0.79,605.0,,,,,,,,,,,
Nathan Silva,26,Defender,Pumas UNAM,Liga MX,Brazil,8.829760403530894,,,,46.83,,,1358.0,,,,112.0,26.0,1.75,89.0,47.56,1.05,0.53,1144.0,,,,,,,,,,,
Leon Adonis Uriel Frías,25,Defender,Leon,Liga MX,Argentina,8.754098360655737,,,,49.28,,,1429.0,,,,122.0,26.0,2.0,90.0,49.28,0.66,0.62,1233.0,,,,,,,,,,,
Facundo Ezequiel Almada,25,Defender,Mazatlan,Liga MX,Argentina,8.791929382093317,,,,45.0,,,1170.0,,,,84.0,22.0,1.69,90.0,45.0,0.58,0.5,984.0,,,,,,,,,,,
Federico Sebastián Viñas Barboza,25,Forward,Leon,Liga MX,Uruguay,9.092055485498108,,,,12.92,8.44,10.12,,,,,,,,,,,,,0.76,2.6,1.39,1.15,1.34,6.86,147.0,,,,
Fernando Beltrán Cruz,25,Midfielder,Guadalajara,Liga MX,Mexico,8.766708701134931,,,,40.18,34.46,37.93,1125.0,,,,,,,82.0,,,,965.0,,,,,,,,0.86,0.18,0.94,24.0
Roberto Carlos Alvarado Hernández,25,Midfielder,Guadalajara,Liga MX,Mexico,9.069356872635561,,,,37.88,30.62,30.85,909.0,,,,,,,89.0,,,,735.0,,,,,,,,2.33,0.47,2.35,56.0
Nicolás Díaz,24,Defender,Tijuana,Liga MX,Chile,8.779319041614125,,,,48.04,,,1153.0,,,,129.0,18.0,1.7,84.0,50.32,0.83,0.39,931.0,,,,,,,,,,,
Sergio Damián Barreto,24,Defender,Pachuca,Liga MX,Argentina,8.73139974779319,,,,39.04,,,976.0,,,,156.0,14.0,3.95,88.0,40.15,0.9,0.37,745.0,,,,,,,,,,,
Alán Isidro Montes Castro,23,Defender,Necaxa,Liga MX,Mexico,8.784363177805801,,,,33.41,,,902.0,,,,148.0,24.0,2.87,79.0,38.09,1.06,0.46,676.0,,,,,,,,,,,
César Saúl Huerta Valera,23,Midfielder,Pumas UNAM,Liga MX,Mexico,9.069356872635561,,,,21.46,16.61,18.36,601.0,,,,,,,81.0,,,,465.0,,,,,,,,1.46,0.67,1.62,41.0
Juan Manuel Sanabria Magole,23,Midfielder,Atletico San Luis,Liga MX,Uruguay,8.996216897856241,,,,43.16,35.12,36.26,1381.0,,,,,,,87.0,,,,1124.0,,,,,,,,1.59,0.26,1.65,51.0
Marcel Alejandro Ruiz Suárez,23,Midfielder,Toluca,Liga MX,Mexico,8.87515762925599,,,,46.38,40.04,44.03,1206.0,,,,,,,82.0,,,,1041.0,,,,,,,,0.81,0.25,0.89,21.0
Jesús Gilberto Orozco Chiquete,22,Midfielder,Guadalajara,Liga MX,Mexico,8.701134930643127,,,,0.0,0.0,0.0,0.0,,,,,,,87.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0
Sebastián Olmedo Pereira,22,Defender,Puebla,Liga MX,Paraguay,6.950819672131148,,,,0.0,,,0.0,,,,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Victor Andrés Guzmán Olmedo,22,Midfielder,Monterrey,Liga MX,Mexico,8.824716267339218,,,,46.75,40.92,42.45,1122.0,,,,,,,87.0,,,,982.0,,,,,,,,0.12,0.0,0.13,3.0
Miguel Emilio Rodriguez Macías,20,Forward,Pachuca,Liga MX,Mexico,7.114754098360656,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2050.0,,,,
