Nombre,Edad,Posicion,Club,Liga,Nacionalidad,Calificacion,Duelos ganados totales,Bloqueos totales,Duelos aereos ganados x cada 90 min totales,Minutos x partido,Pases x cada 90 minutos totales,Faltas cometidas x cada 90 min totales,Pases x juego totales,Duelos regate perdidos x cada 90 min totales,Pases completos totales,Pases totales,Porcentaje atajadas totales,Atajadas x partido totales,Atajadas totales,Pases completos x partidos totales,Pases completos x cada 90 min,Duelos totales,Faltas recibidas x partido totales,Atajadas x cada 90 min totales,Regates existosos x partido totales,Tiros x partido totales,Tiros puerta x cada 90 min totales,Balones perdidos x cada 90 min totales,Faltas recibidas x cada 90 min totales,Duelos ganados x cada 90 min totales,Minutos x gol totales,Pases clave x partido totales,Participacion en goles x cada 90 min totales,Pases clave x cada 90 min totales,Pases clave totales
Max Kilman,26,Defender,Wolverhampton Wanderers,Premier League,England,8.966494845360828,138.0,37.0,2.32,89.0,55.14,0.52,54.73,0.34,1496.0,1806.0,,,,,,,,,,,,,,,,,,,
Michael Olise,22,Midfielder,Crystal Palace,Premier League,France,9.13917525773196,,,,75.0,,,29.74,,816.0,1041.0,,,,23.31,28.77,,,,,,,,,,,1.94,0.42,2.4,68.0
Miguel Almirón,30,Midfielder,Newcastle United,Premier League,Paraguay,8.667525773195877,,,,74.0,,,27.09,,780.0,921.0,,,,22.94,27.98,,,,,,,,,,,0.76,0.47,0.93,26.0
Mohamed Elyounoussi,29,Midfielder,Southampton,Premier League,Norway,8.641752577319588,,,,66.0,,,17.45,,394.0,576.0,,,,11.94,16.27,,,,,,,,,,,0.55,0.08,0.74,18.0
Mohamed Salah,31,Forward,Liverpool,Premier League,Egypt,9.314432989690722,,,,,,,29.34,,,,,,,22.97,23.83,,,,1.24,2.55,1.28,2.13,0.9,2.98,174.0,,,,
Moisés Caicedo,22,Midfielder,Brighton & Hove Albion,Premier League,Ecuador,8.951030927835053,,,,85.0,,,56.0,,1833.0,2072.0,,,,49.54,53.81,,,,,,,,,,,1.16,0.06,1.26,43.0
Morgan Gibbs-White,24,Midfielder,Nottingham Forest,Premier League,England,9.195876288659797,,,,85.0,,,26.03,,661.0,937.0,,,,18.36,19.38,,,,,,,,,,,1.75,0.37,1.85,63.0
Nélson Semedo,30,Defender,Wolverhampton Wanderers,Premier League,Portugal,8.708762886597938,136.0,13.0,0.99,73.0,40.0,1.74,31.59,1.03,829.0,1011.0,,,,,,,,,,,,,,,,,,,
Nick Pope,31,Goalkeeper,Newcastle United,Premier League,England,8.850515463917526,,,,,,,17.84,,,660.0,73.11,2.35,87.0,10.49,10.71,11.0,0.05,2.4,,,,,,,,,,,
Norberto Neto,34,Goalkeeper,AFC Bournemouth,Premier League,Brazil,9.04896907216495,,,,,,,25.63,,,692.0,71.94,3.7,100.0,14.37,14.64,15.0,0.15,3.77,,,,,,,,,,,
Oleksandr Zinchenko,27,Midfielder,Arsenal,Premier League,Ukraine,9.012886597938145,,,,79.0,,,63.0,,1495.0,1701.0,,,,55.37,62.99,,,,,,,,,,,0.74,0.13,0.84,20.0
Ollie Watkins,28,Forward,Aston Villa,Premier League,England,8.811855670103094,,,,,,,14.73,,,,,,,10.43,11.08,,,,0.46,1.86,1.35,1.18,1.06,3.99,209.0,,,,
Pascal Groß,32,Midfielder,Brighton & Hove Albion,Premier League,Germany,9.420103092783505,,,,88.0,,,51.54,,1642.0,1907.0,,,,44.38,46.59,,,,,,,,,,,2.11,0.47,2.21,78.0
Pascal Struijk,24,Defender,Leeds United,Premier League,Netherlands,8.551546391752577,160.0,13.0,2.21,76.0,42.79,1.23,36.1,1.06,836.0,1047.0,,,,,,,,,,,,,,,,,,,
Pervis Estupiñán,26,Defender,Brighton & Hove Albion,Premier League,Ecuador,8.695876288659793,133.0,8.0,1.13,77.0,52.72,1.44,43.91,0.79,1286.0,1537.0,,,,,,,,,,,,,,,,,,,
Philip Billing,27,Midfielder,AFC Bournemouth,Premier League,Denmark,8.695876288659795,,,,77.0,,,27.37,,755.0,958.0,,,,21.57,24.99,,,,,,,,,,,0.69,0.26,0.79,24.0
Pierre-Emile Højbjerg,28,Midfielder,Tottenham Hotspur,Premier League,Denmark,9.182989690721651,,,,90.0,,,63.12,,1903.0,2146.0,,,,55.97,56.28,,,,,,,,,,,0.88,0.26,0.89,30.0
Remo Freuler,31,Midfielder,Nottingham Forest,Premier League,Switzerland,8.559278350515465,,,,77.0,,,29.3,,627.0,791.0,,,,23.22,27.21,,,,,,,,,,,0.41,0.0,0.48,11.0
Renan Lodi,25,Defender,Nottingham Forest,Premier League,Brazil,8.677835051546392,123.0,6.0,0.7,79.0,26.85,1.15,24.22,1.19,469.0,654.0,,,,,,,,,,,,,,,,,,,
Rico Henry,26,Defender,Brentford,Premier League,England,8.708762886597938,143.0,8.0,1.05,88.0,27.01,0.85,26.43,0.44,701.0,925.0,,,,,,,,,,,,,,,,,,,
Robert Sánchez,26,Goalkeeper,Brighton & Hove Albion,Premier League,Spain,8.82216494845361,,,,,,,29.04,,,668.0,61.54,2.09,48.0,21.61,21.61,9.0,0.0,2.09,,,,,,,,,,,
Robin Koch,27,Defender,Leeds United,Premier League,Germany,8.744845360824742,169.0,22.0,2.94,88.0,43.95,1.02,43.09,0.85,1162.0,1508.0,,,,,,,,,,,,,,,,,,,
Rodri,27,Midfielder,Manchester City,Premier League,Spain,9.180412371134022,,,,81.0,,,81.56,,2683.0,2936.0,,,,74.53,82.7,,,,,,,,,,,0.92,0.25,1.02,33.0
Roméo Lavia,20,Midfielder,Southampton,Premier League,Belgium,8.695876288659793,,,,80.0,,,33.25,,799.0,931.0,,,,28.54,33.6,,,,,,,,,,,0.57,0.04,0.67,16.0
Rúben Neves,27,Midfielder,Wolverhampton Wanderers,Premier League,Portugal,9.09020618556701,,,,86.0,,,55.88,,1545.0,1844.0,,,,46.82,48.94,,,,,,,,,,,0.91,0.21,0.95,30.0
Saïd Benrahma,28,Forward,West Ham United,Premier League,Algeria,8.760309278350515,,,,,,,20.09,,,,,,,16.5,25.12,,,,1.38,1.47,1.21,1.88,0.63,4.03,345.0,,,,
Sean Longstaff,26,Midfielder,Newcastle United,Premier League,England,8.677835051546392,,,,76.0,,,33.58,,917.0,1108.0,,,,27.79,32.79,,,,,,,,,,,0.7,0.18,0.82,23.0
Solly March,29,Midfielder,Brighton & Hove Albion,Premier League,England,9.113402061855671,,,,83.0,,,32.39,,840.0,1069.0,,,,25.45,28.33,,,,,,,,,,,1.94,0.43,2.16,64.0
Sven Botman,24,Defender,Newcastle United,Premier League,Netherlands,8.909793814432991,124.0,23.0,2.13,87.0,49.32,0.43,47.61,0.17,1489.0,1714.0,,,,,,,,,,,,,,,,,,,
Thiago Silva,39,Defender,Chelsea,Premier League,Brazil,8.876288659793815,116.0,29.0,2.37,87.0,75.57,0.38,73.15,0.31,1800.0,1975.0,,,,,,,,,,,,,,,,,,,
Thilo Kehrer,27,Defender,West Ham United,Premier League,Germany,8.86855670103093,95.0,6.0,1.41,83.0,39.35,1.29,36.11,0.69,830.0,975.0,,,,,,,,,,,,,,,,,,,
Thomas Partey,30,Midfielder,Arsenal,Premier League,Ghana,8.981958762886599,,,,75.0,,,58.48,,1698.0,1930.0,,,,51.45,61.5,,,,,,,,,,,0.79,0.11,0.94,26.0
Tim Ream,36,Defender,Fulham,Premier League,USA,8.88659793814433,88.0,24.0,1.31,88.0,56.82,0.54,55.44,0.48,1548.0,1774.0,,,,,,,,,,,,,,,,,,,
Timothy Castagne,28,Defender,Leicester City,Premier League,Belgium,8.762886597938145,154.0,12.0,1.48,88.0,41.02,0.71,40.08,0.94,1166.0,1443.0,,,,,,,,,,,,,,,,,,,
Tomáš Souček,29,Midfielder,West Ham United,Premier League,Czech Republic,8.765463917525775,,,,78.0,,,25.56,,662.0,920.0,,,,18.39,21.59,,,,,,,,,,,0.39,0.16,0.46,14.0
Tosin Adarabioyo,26,Defender,Fulham,Premier League,England,8.835051546391753,88.0,14.0,2.21,87.0,52.83,0.68,48.75,0.27,966.0,1170.0,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,25,Defender,Liverpool,Premier League,England,8.943298969072167,104.0,7.0,0.58,79.0,70.01,0.68,61.62,0.98,1796.0,2280.0,,,,,,,,,,,,,,,,,,,
Tyler Adams,25,Midfielder,Leeds United,Premier League,USA,9.00257731958763,,,,90.0,,,54.65,,1030.0,1257.0,,,,44.78,44.85,,,,,,,,,,,1.04,0.0,1.04,24.0
Tyrick Mitchell,24,Defender,Crystal Palace,Premier League,England,8.693298969072165,106.0,9.0,0.7,80.0,36.42,1.03,32.32,0.66,782.0,1099.0,,,,,,,,,,,,,,,,,,,
Tyrone Mings,31,Defender,Aston Villa,Premier League,England,8.920103092783506,102.0,21.0,1.71,90.0,52.17,0.49,52.17,0.23,1555.0,1826.0,,,,,,,,,,,,,,,,,,,
Vicente Guaita,37,Goalkeeper,Crystal Palace,Premier League,Spain,9.074742268041238,,,,,,,25.77,,,670.0,71.55,3.19,83.0,17.12,17.12,16.0,0.12,3.19,,,,,,,,,,,
Virgil van Dijk,32,Defender,Liverpool,Premier League,Netherlands,8.992268041237114,125.0,16.0,3.01,89.0,81.05,0.35,79.81,0.32,2309.0,2554.0,,,,,,,,,,,,,,,,,,,
Vitalii Mykolenko,24,Defender,Everton,Premier League,Ukraine,8.739690721649485,109.0,16.0,0.81,78.0,33.49,0.95,28.91,0.81,726.0,954.0,,,,,,,,,,,,,,,,,,,
Vitaly Janelt,25,Midfielder,Brentford,Premier League,Germany,8.884020618556702,,,,63.0,,,27.91,,769.0,949.0,,,,22.62,31.75,,,,,,,,,,,0.44,0.16,0.62,15.0
Vladimír Coufal,31,Defender,West Ham United,Premier League,Czech Republic,8.724226804123711,116.0,6.0,1.68,79.0,33.27,1.18,29.3,0.55,527.0,791.0,,,,,,,,,,,,,,,,,,,
Wilfried Zaha,31,Forward,Crystal Palace,Premier League,Ivory Coast,9.041237113402062,,,,,,,22.27,,,,,,,18.15,19.29,,,,1.81,1.46,0.9,3.31,2.94,6.38,328.0,,,,
William Saliba,23,Defender,Arsenal,Premier League,France,9.036082474226804,105.0,10.0,1.86,89.0,69.1,0.71,68.7,0.11,1692.0,1855.0,,,,,,,,,,,,,,,,,,,
Willian,35,Forward,Fulham,Premier League,Brazil,8.845360824742269,,,,,,,29.46,,,,,,,24.12,27.31,,,,1.31,0.96,0.74,1.05,1.05,3.35,429.0,,,,
Wout Faes,25,Defender,Leicester City,Premier League,Belgium,8.786082474226806,134.0,32.0,1.87,90.0,57.06,0.77,57.0,0.43,1467.0,1710.0,,,,,,,,,,,,,,,,,,,
Youri Tielemans,26,Midfielder,Leicester City,Premier League,Belgium,8.961340206185568,,,,76.0,,,49.58,,1256.0,1537.0,,,,40.52,48.08,,,,,,,,,,,0.97,0.19,1.15,30.0
Łukasz Fabiański,38,Goalkeeper,West Ham United,Premier League,Poland,8.899484536082475,,,,,,,21.31,,,767.0,68.63,2.92,105.0,12.22,12.72,22.0,0.11,3.03,,,,,,,,,,,
Alex Král,25,Midfielder,Schalke 04,Bundesliga,Czech Republic,8.546391752577321,,,,81.0,,,27.55,,573.0,799.0,,,,19.76,22.58,,,,,,,,,,,0.38,0.0,0.43,11.0
Alexander Schwolow,31,Goalkeeper,Schalke 04,Bundesliga,Germany,8.832474226804125,,,,,,,33.48,,,770.0,58.39,3.48,80.0,21.22,21.59,10.0,0.17,3.54,,,,,,,,,,,
Alphonso Davies,23,Forward,Bayern Munich,Bundesliga,Canada,8.724226804123713,,,,,,,51.32,,,,,,,44.64,50.52,,,,2.68,0.52,0.36,1.22,1.18,6.34,2047.0,,,,
Andrej Kramarić,32,Forward,Hoffenheim,Bundesliga,Croatia,8.855670103092784,,,,,,,28.09,,,,,,,23.25,28.3,,,,0.62,1.47,0.95,1.37,1.29,2.62,199.0,,,,
Anthony Caci,26,Midfielder,Mainz 05,Bundesliga,France,8.734536082474227,,,,66.0,,,29.28,,632.0,849.0,,,,21.79,30.63,,,,,,,,,,,0.59,0.13,0.82,17.0
Anthony Jung,32,Defender,Werder Bremen,Bundesliga,Germany,8.739690721649485,112.0,6.0,1.26,78.0,38.64,0.8,33.48,0.84,843.0,1105.0,,,,,,,,,,,,,,,,,,,
Anthony Losilla,38,Midfielder,Bochum,Bundesliga,France,8.855670103092784,,,,88.0,,,30.45,,646.0,944.0,,,,20.84,21.34,,,,,,,,,,,0.45,0.13,0.46,14.0
Anton Stach,25,Midfielder,Mainz 05,Bundesliga,Germany,8.806701030927837,,,,69.0,,,27.5,,557.0,770.0,,,,19.89,26.27,,,,,,,,,,,1.0,0.22,1.32,28.0
Benjamin Henrichs,27,Defender,RB Leipzig,Bundesliga,Germany,8.768041237113403,130.0,2.0,1.02,73.0,51.61,1.42,40.1,0.93,904.0,1163.0,,,,,,,,,,,,,,,,,,,
Benjamin Pavard,28,Defender,Bayern Munich,Bundesliga,France,8.899484536082474,138.0,14.0,2.11,81.0,78.93,1.02,69.67,0.34,1877.0,2090.0,,,,,,,,,,,,,,,,,,,
Benno Schmitz,29,Defender,Köln,Bundesliga,Germany,8.75515463917526,112.0,4.0,1.15,78.0,40.89,1.19,35.61,1.44,699.0,1104.0,,,,,,,,,,,,,,,,,,,
Bote Baku,26,Midfielder,Wolfsburg,Bundesliga,Germany,8.806701030927835,,,,78.0,,,37.38,,946.0,1196.0,,,,29.56,33.76,,,,,,,,,,,0.84,0.28,0.96,27.0
Cédric Brunner,30,Defender,Schalke 04,Bundesliga,Switzerland,8.662371134020619,115.0,7.0,1.36,83.0,33.17,1.32,29.64,0.56,586.0,830.0,,,,,,,,,,,,,,,,,,,
Christian Günter,31,Defender,Freiburg,Bundesliga,Germany,8.61340206185567,66.0,4.0,0.43,83.0,31.3,1.03,28.67,0.89,724.0,946.0,,,,,,,,,,,,,,,,,,,
Christoph Baumgartner,24,Midfielder,Hoffenheim,Bundesliga,Austria,8.951030927835053,,,,78.0,,,25.18,,568.0,831.0,,,,17.21,19.94,,,,,,,,,,,0.7,0.35,0.81,23.0
Christoph Kramer,33,Midfielder,Borussia M'gladbach,Bundesliga,Germany,8.755154639175258,,,,77.0,,,43.0,,1008.0,1204.0,,,,36.0,40.68,,,,,,,,,,,0.54,0.0,0.61,15.0
Daichi Kamada,27,Midfielder,Eintracht Frankfurt,Bundesliga,Japan,8.750000000000002,,,,71.0,,,36.31,,973.0,1162.0,,,,30.41,38.76,,,,,,,,,,,1.06,0.59,1.35,34.0
Danilho Doekhi,25,Defender,Union Berlin,Bundesliga,Netherlands,8.832474226804125,114.0,11.0,2.51,89.0,38.34,0.86,37.32,0.45,745.0,933.0,,,,,,,,,,,,,,,,,,,
Dayot Upamecano,25,Defender,Bayern Munich,Bundesliga,France,9.028350515463918,134.0,6.0,1.86,81.0,86.75,1.12,77.38,0.62,2035.0,2244.0,,,,,,,,,,,,,,,,,,,
Diogo Leite,25,Defender,Union Berlin,Bundesliga,Portugal,8.896907216494848,137.0,14.0,2.72,81.0,54.1,1.76,48.39,0.44,1061.0,1355.0,,,,,,,,,,,,,,,,,,,
Djibril Sow,27,Midfielder,Eintracht Frankfurt,Bundesliga,Switzerland,8.84278350515464,,,,83.0,,,47.28,,1296.0,1513.0,,,,40.5,44.02,,,,,,,,,,,0.56,0.14,0.61,18.0
Dodi Lukebakio,26,Midfielder,Hertha BSC,Bundesliga,Belgium,8.791237113402062,,,,75.0,,,16.88,,398.0,540.0,,,,12.44,14.89,,,,,,,,,,,0.91,0.52,1.08,29.0
Dominik Kohr,30,Midfielder,Mainz 05,Bundesliga,Germany,8.920103092783505,,,,77.0,,,38.39,,793.0,1075.0,,,,28.32,33.74,,,,,,,,,,,0.43,0.12,0.51,12.0
Dominik Szoboszlai,23,Midfielder,RB Leipzig,Bundesliga,Hungary,9.203608247422682,,,,79.0,,,42.67,,1063.0,1280.0,,,,35.43,41.61,,,,,,,,,,,2.17,0.51,2.54,65.0
Edimilson Fernandes,28,Midfielder,Mainz 05,Bundesliga,Switzerland,8.726804123711341,,,,76.0,,,32.43,,719.0,973.0,,,,23.97,28.58,,,,,,,,,,,0.5,0.11,0.6,15.0
Edmond Tapsoba,25,Defender,Bayer Leverkusen,Bundesliga,Burkina Faso,8.932989690721651,137.0,18.0,1.72,87.0,68.51,0.88,66.27,0.38,1880.0,2187.0,,,,,,,,,,,,,,,,,,,
Ellyes Skhiri,28,Midfielder,Köln,Bundesliga,France,9.13659793814433,,,,89.0,,,52.41,,1483.0,1677.0,,,,46.34,46.72,,,,,,,,,,,0.81,0.25,0.82,26.0
Elvis Rexhbecaj,26,Midfielder,Augsburg,Bundesliga,Germany,8.608247422680414,,,,82.0,,,27.07,,558.0,812.0,,,,18.6,21.14,,,,,,,,,,,0.37,0.0,0.42,11.0
Erhan Mašović,25,Midfielder,Bochum,Bundesliga,Serbia,8.533505154639176,,,,75.0,,,26.41,,621.0,766.0,,,,21.41,26.6,,,,,,,,,,,0.28,0.17,0.34,8.0
Eric Martel,21,Midfielder,Köln,Bundesliga,Germany,8.582474226804125,,,,70.0,,,30.03,,693.0,871.0,,,,23.9,30.86,,,,,,,,,,,0.24,0.09,0.31,7.0
Ermedin Demirović,26,Forward,Augsburg,Bundesliga,Bosnia and Herzegovina,8.829896907216495,,,,,,,16.1,,,,,,,8.13,9.22,,,,0.6,1.7,0.87,1.29,1.1,5.14,298.0,,,,
Florian Kainz,31,Midfielder,Köln,Bundesliga,Austria,9.20360824742268,,,,74.0,,,28.44,,667.0,910.0,,,,20.84,25.33,,,,,,,,,,,2.25,0.61,2.73,72.0
Frederik Rønnow,31,Goalkeeper,Union Berlin,Bundesliga,Denmark,8.992268041237114,,,,,,,39.79,,,1154.0,77.97,3.17,92.0,26.34,26.62,16.0,0.14,3.21,,,,,,,,,,,
Gregor Kobel,26,Goalkeeper,Borussia Dortmund,Bundesliga,Switzerland,9.015463917525775,,,,,,,34.04,,,919.0,72.65,3.15,85.0,27.81,28.13,10.0,0.15,3.18,,,,,,,,,,,
Hiroki Ito,24,Midfielder,Stuttgart,Bundesliga,Japan,9.059278350515465,,,,85.0,,,65.67,,1641.0,1970.0,,,,54.7,57.65,,,,,,,,,,,0.7,0.07,0.74,21.0
Ivan Ordets,31,Defender,Bochum,Bundesliga,Ukraine,8.853092783505156,186.0,15.0,4.85,82.0,36.46,1.18,33.1,0.44,722.0,993.0,,,,,,,,,,,,,,,,,,,
Jakub Kamiński,21,Midfielder,Wolfsburg,Bundesliga,Poland,8.646907216494846,,,,67.0,,,18.3,,414.0,549.0,,,,13.8,18.81,,,,,,,,,,,0.8,0.26,1.09,24.0
Jamal Musiala,21,Midfielder,Bayern Munich,Bundesliga,Germany,8.719072164948454,,,,67.0,,,29.31,,803.0,938.0,,,,25.09,33.24,,,,,,,,,,,1.5,0.9,1.99,48.0
Janik Haberer,30,Midfielder,Union Berlin,Bundesliga,Germany,8.734536082474229,,,,69.0,,,19.81,,471.0,634.0,,,,14.72,19.33,,,,,,,,,,,0.69,0.24,0.9,22.0
Janis Blaswich,32,Goalkeeper,RB Leipzig,Bundesliga,Germany,8.693298969072165,,,,,,,36.44,,,911.0,62.69,1.68,42.0,31.28,32.25,15.0,0.12,1.73,,,,,,,,,,,
Jeffrey Gouweleeuw,32,Defender,Augsburg,Bundesliga,Netherlands,8.688144329896907,133.0,22.0,2.5,87.0,45.29,0.98,43.16,0.68,943.0,1338.0,,,,,,,,,,,,,,,,,,,
Jeremie Frimpong,23,Midfielder,Bayer Leverkusen,Bundesliga,England,9.07216494845361,,,,80.0,,,27.53,,757.0,936.0,,,,22.26,25.03,,,,,,,,,,,1.32,0.5,1.49,45.0
Jiří Pavlenka,32,Goalkeeper,Werder Bremen,Bundesliga,Czech Republic,8.768041237113403,,,,,,,30.38,,,972.0,63.52,3.16,101.0,20.41,20.85,22.0,0.22,3.22,,,,,,,,,,,
Jonas Hector,33,Defender,Köln,Bundesliga,Germany,8.914948453608249,269.0,9.0,1.69,88.0,45.57,0.73,44.72,1.34,1134.0,1431.0,,,,,,,,,,,,,,,,,,,
Jonas Hofmann,31,Midfielder,Borussia M'gladbach,Bundesliga,Germany,9.453608247422682,,,,87.0,,,41.61,,1042.0,1290.0,,,,33.61,34.82,,,,,,,,,,,3.16,0.7,3.28,98.0
Jonathan Tah,28,Defender,Bayer Leverkusen,Bundesliga,Germany,8.734536082474229,87.0,18.0,1.96,75.0,58.84,0.8,49.21,0.18,1449.0,1624.0,,,,,,,,,,,,,,,,,,,
Jonjoe Kenny,27,Defender,Hertha BSC,Bundesliga,England,8.536082474226804,91.0,9.0,1.04,77.0,36.55,1.16,31.41,0.72,680.0,911.0,,,,,,,,,,,,,,,,,,,
José Ángel Esmoris Tasende,27,Defender,Hoffenheim,Bundesliga,Spain,8.68298969072165,94.0,5.0,0.45,79.0,36.36,0.42,31.76,0.38,714.0,1048.0,,,,,,,,,,,,,,,,,,,
Joseph Scally,21,Defender,Borussia M'gladbach,Bundesliga,USA,8.608247422680414,110.0,6.0,0.73,79.0,37.42,0.53,32.89,0.28,714.0,921.0,,,,,,,,,,,,,,,,,,,
Joshua Kimmich,29,Midfielder,Bayern Munich,Bundesliga,Germany,9.399484536082475,,,,85.0,,,71.42,,2114.0,2357.0,,,,64.06,68.81,,,,,,,,,,,2.36,0.35,2.54,78.0
Joško Gvardiol,22,Defender,RB Leipzig,Bundesliga,Croatia,8.940721649484537,88.0,14.0,1.77,72.0,87.21,0.84,67.83,0.49,1745.0,1967.0,,,,,,,,,,,,,,,,,,,
Jude Bellingham,20,Midfielder,Borussia Dortmund,Bundesliga,England,9.20618556701031,,,,87.0,,,49.7,,1242.0,1491.0,,,,41.4,43.41,,,,,,,,,,,1.1,0.4,1.15,33.0
Julian Brandt,27,Midfielder,Borussia Dortmund,Bundesliga,Germany,9.41237113402062,,,,75.0,,,36.42,,950.0,1129.0,,,,30.65,36.73,,,,,,,,,,,2.32,0.63,2.78,72.0
Julian Ryerson,26,Defender,Borussia Dortmund,Bundesliga,Norway,8.961340206185568,131.0,5.0,0.63,82.0,42.02,1.15,37.83,0.78,916.0,1135.0,,,,,,,,,,,,,,,,,,,
Karim Onisiwo,32,Midfielder,Mainz 05,Bundesliga,Austria,8.804123711340207,,,,82.0,,,17.93,,322.0,538.0,,,,10.73,11.52,,,,,,,,,,,1.07,0.42,1.15,32.0
Kevin Stöger,30,Forward,Bochum,Bundesliga,Austria,8.989690721649485,,,,,,,42.81,,,,,,,31.75,35.87,,,,0.69,1.03,0.49,1.27,1.87,5.93,521.0,,,,
Kevin Trapp,33,Goalkeeper,Eintracht Frankfurt,Bundesliga,Germany,8.70360824742268,,,,,,,22.79,,,752.0,61.07,2.42,80.0,14.85,14.85,10.0,0.12,2.42,,,,,,,,,,,
Koen Casteels,31,Goalkeeper,Wolfsburg,Bundesliga,Belgium,9.007731958762887,,,,,,,41.06,,,1355.0,68.46,3.09,102.0,30.06,30.06,8.0,0.09,3.09,,,,,,,,,,,
Konstantinos Mavropanos,26,Defender,Stuttgart,Bundesliga,Greece,8.979381443298971,166.0,18.0,3.19,82.0,54.5,0.94,49.46,0.31,1156.0,1385.0,,,,,,,,,,,,,,,,,,,
Kouadio Kone,22,Midfielder,Borussia M'gladbach,Bundesliga,France,8.93298969072165,,,,87.0,,,45.37,,1186.0,1361.0,,,,39.53,40.74,,,,,,,,,,,0.67,0.07,0.69,20.0
Leandro Barreiro,24,Midfielder,Mainz 05,Bundesliga,Luxembourg,8.75515463917526,,,,69.0,,,17.03,,344.0,494.0,,,,11.86,15.5,,,,,,,,,,,0.55,0.29,0.72,16.0
Leroy Sané,28,Midfielder,Bayern Munich,Bundesliga,Germany,8.672680412371134,,,,63.0,,,31.22,,827.0,999.0,,,,25.84,37.59,,,,,,,,,,,1.06,0.67,1.55,34.0
Linton Mania,24,Midfielder,Köln,Bundesliga,Germany,9.13917525773196,,,,68.0,,,17.58,,449.0,580.0,,,,13.61,17.89,,,,,,,,,,,1.09,0.4,1.43,36.0
Lucas Silva Melo,24,Defender,Eintracht Frankfurt,Bundesliga,Brazil,8.662371134020619,133.0,14.0,1.56,88.0,59.5,1.1,57.71,0.7,1445.0,1789.0,,,,,,,,,,,,,,,,,,,
Lucas Tousart,26,Midfielder,Hertha BSC,Bundesliga,France,8.847938144329898,,,,89.0,,,25.79,,530.0,851.0,,,,16.06,16.18,,,,,,,,,,,0.58,0.21,0.58,19.0
Lukáš Hrádecký,34,Goalkeeper,Bayer Leverkusen,Bundesliga,Finland,8.84536082474227,,,,,,,28.58,,,943.0,67.81,3.0,99.0,19.55,19.55,9.0,0.0,3.0,,,,,,,,,,,
Manuel Riemann,35,Goalkeeper,Bochum,Bundesliga,Germany,8.95876288659794,,,,,,,47.56,,,1617.0,65.0,3.82,130.0,27.79,28.47,29.0,0.12,3.92,,,,,,,,,,,
Marc-Oliver Kempf,29,Defender,Hertha BSC,Bundesliga,Germany,8.953608247422682,204.0,32.0,4.25,88.0,43.17,0.9,41.97,0.17,1012.0,1301.0,,,,,,,,,,,,,,,,,,,
Marco Friedl,26,Defender,Werder Bremen,Bundesliga,Austria,8.878865979381445,132.0,16.0,1.58,87.0,56.43,0.83,54.21,0.79,1288.0,1572.0,,,,,,,,,,,,,,,,,,,
Marcus Thuram,26,Forward,Borussia M'gladbach,Bundesliga,France,9.085051546391753,,,,,,,18.23,,,,,,,13.7,14.69,,,,1.3,2.6,1.57,1.68,1.57,4.97,194.0,,,,
Mario Götze,31,Midfielder,Eintracht Frankfurt,Bundesliga,Germany,8.811855670103094,,,,86.0,,,43.03,,1078.0,1377.0,,,,33.69,35.28,,,,,,,,,,,1.38,0.13,1.44,44.0
Marius Bülter,31,Midfielder,Schalke 04,Bundesliga,Germany,8.793814432989691,,,,79.0,,,18.24,,393.0,602.0,,,,11.91,13.97,,,,,,,,,,,1.18,0.41,1.39,39.0
Mark Flekken,30,Goalkeeper,Freiburg,Bundesliga,Netherlands,8.917525773195878,,,,,,,38.29,,,1302.0,70.07,3.03,103.0,26.35,26.6,15.0,0.09,3.06,,,,,,,,,,,
Marvin Ducksch,30,Forward,Werder Bremen,Bundesliga,Germany,9.149484536082475,,,,,,,22.39,,,,,,,15.39,16.36,,,,0.33,2.21,1.42,0.55,0.48,1.93,239.0,,,,
Marvin Plattenhardt,32,Defender,Hertha BSC,Bundesliga,Germany,8.68298969072165,98.0,10.0,0.79,78.0,29.28,0.79,25.26,0.64,584.0,783.0,,,,,,,,,,,,,,,,,,,
Marvin Schwäbe,29,Goalkeeper,Köln,Bundesliga,Germany,8.75,,,,,,,37.41,,,1272.0,59.4,2.32,79.0,28.76,28.76,10.0,0.06,2.32,,,,,,,,,,,
Mats Hummels,35,Defender,Borussia Dortmund,Bundesliga,Germany,9.051546391752577,154.0,15.0,3.16,70.0,74.01,0.81,54.63,1.04,1440.0,1639.0,,,,,,,,,,,,,,,,,,,
Matthias Ginter,30,Defender,Freiburg,Bundesliga,Germany,8.93556701030928,189.0,25.0,3.44,90.0,54.59,0.65,54.09,0.36,1520.0,1839.0,,,,,,,,,,,,,,,,,,,
Matthijs de Ligt,24,Defender,Bayern Munich,Bundesliga,Netherlands,9.059278350515465,133.0,20.0,3.29,78.0,74.61,0.69,63.0,0.34,1783.0,1953.0,,,,,,,,,,,,,,,,,,,
Maximilian Arnold,29,Midfielder,Wolfsburg,Bundesliga,Germany,9.172680412371136,,,,87.0,,,43.52,,1111.0,1349.0,,,,35.84,37.24,,,,,,,,,,,1.19,0.26,1.24,37.0
Maximilian Eggestein,27,Midfielder,Freiburg,Bundesliga,Germany,8.827319587628867,,,,79.0,,,26.45,,641.0,820.0,,,,20.68,23.76,,,,,,,,,,,0.71,0.11,0.82,22.0
