Nombre,Edad,Posicion,Club,Liga,Nacionalidad,Calificacion,Duelos ganados totales,Bloqueos totales,Duelos aereos ganados x cada 90 min totales,Minutos x partido,Pases x cada 90 minutos totales,Faltas cometidas x cada 90 min totales,Pases x juego totales,Duelos regate perdidos x cada 90 min totales,Pases completos totales,Pases totales,Porcentaje atajadas totales,Atajadas x partido totales,Atajadas totales,Pases completos x partidos totales,Pases completos x cada 90 min,Duelos totales,Faltas recibidas x partido totales,Atajadas x cada 90 min totales,Regates existosos x partido totales,Tiros x partido totales,Tiros puerta x cada 90 min totales,Balones perdidos x cada 90 min totales,Faltas recibidas x cada 90 min totales,Duelos ganados x cada 90 min totales,Minutos x gol totales,Pases clave x partido totales,Participacion en goles x cada 90 min totales,Pases clave x cada 90 min totales,Pases clave totales
Clément Lenglet,28,Defender,Tottenham Hotspur,Premier League,France,8.873711340206187,103.0,12.0,1.95,78.0,62.87,0.98,54.12,0.7,1184.0,1353.0,,,,,,,,,,,,,,,,,,,
Conor Coady,31,Defender,Everton,Premier League,England,8.757731958762887,52.0,17.0,1.03,87.0,50.13,0.47,48.62,0.3,992.0,1167.0,,,,,,,,,,,,,,,,,,,
Craig Dawson,33,Defender,Wolverhampton Wanderers,Premier League,England,8.876288659793815,76.0,22.0,2.25,85.0,49.59,0.7,47.29,0.25,819.0,993.0,,,,,,,,,,,,,,,,,,,
Cristian Romero,25,Defender,Tottenham Hotspur,Premier League,Argentina,8.920103092783506,145.0,18.0,2.22,88.0,58.75,1.58,57.12,0.55,1297.0,1485.0,,,,,,,,,,,,,,,,,,,
Dan Burn,31,Defender,Newcastle United,Premier League,England,9.113402061855671,162.0,16.0,2.46,82.0,41.3,1.01,37.63,0.87,1116.0,1430.0,,,,,,,,,,,,,,,,,,,
Danny Ward,30,Goalkeeper,Leicester City,Premier League,Wales,8.902061855670103,,,,,,,30.23,,,786.0,62.6,2.96,77.0,21.12,21.12,11.0,0.19,2.96,,,,,,,,,,,
David de Gea,33,Goalkeeper,Manchester United,Premier League,Spain,8.994845360824744,,,,,,,28.87,,,1097.0,70.14,2.66,101.0,19.84,19.84,12.0,0.13,2.66,,,,,,,,,,,
David Raya,28,Goalkeeper,Brentford,Premier League,Spain,8.997422680412372,,,,,,,38.05,,,1408.0,77.08,4.0,148.0,23.08,23.08,21.0,0.14,4.0,,,,,,,,,,,
Declan Rice,25,Midfielder,West Ham United,Premier League,England,9.105670103092784,,,,88.0,,,53.65,,1756.0,1985.0,,,,47.46,49.42,,,,,,,,,,,0.97,0.14,1.01,36.0
Dejan Kulusevski,23,Midfielder,Tottenham Hotspur,Premier League,Sweden,8.667525773195878,,,,69.0,,,22.55,,542.0,654.0,,,,18.69,24.38,,,,,,,,,,,1.52,0.39,1.98,44.0
Demarai Gray,27,Forward,Everton,Premier League,England,8.760309278350515,,,,,,,19.91,,,,,,,16.22,19.29,,,,0.94,1.12,0.86,2.27,1.9,4.61,628.0,,,,
Diogo Dalot,25,Defender,Manchester United,Premier League,Portugal,8.75515463917526,112.0,8.0,1.59,83.0,49.03,0.84,45.15,0.42,945.0,1174.0,,,,,,,,,,,,,,,,,,,
Dominic Solanke,26,Forward,AFC Bournemouth,Premier League,England,8.876288659793817,,,,,,,15.72,,,,,,,10.94,11.31,,,,1.22,1.56,0.87,2.23,1.65,5.01,479.0,,,,
Douglas Luiz,25,Midfielder,Aston Villa,Premier League,Brazil,9.201030927835053,,,,79.0,,,43.35,,1379.0,1604.0,,,,37.27,42.33,,,,,,,,,,,1.16,0.37,1.32,43.0
Dwight McNeil,24,Forward,Everton,Premier League,England,8.835051546391753,,,,,,,20.43,,,,,,,15.6,20.41,,,,1.37,0.69,0.52,1.53,0.75,5.38,357.0,,,,
Eberechi Eze,25,Midfielder,Crystal Palace,Premier League,England,8.804123711340207,,,,70.0,,,27.06,,806.0,974.0,,,,22.39,29.84,,,,,,,,,,,1.53,0.48,2.04,55.0
Ederson,30,Goalkeeper,Manchester City,Premier League,Brazil,8.742268041237114,,,,,,,31.29,,,1095.0,58.97,1.31,46.0,26.31,26.31,17.0,0.09,1.31,,,,,,,,,,,
Emi Buendía,27,Midfielder,Aston Villa,Premier League,Argentina,8.652061855670103,,,,64.0,,,25.34,,751.0,963.0,,,,19.76,27.93,,,,,,,,,,,1.03,0.26,1.45,39.0
Emiliano Martínez,31,Goalkeeper,Aston Villa,Premier League,Argentina,8.945876288659795,,,,,,,33.83,,,1218.0,72.06,2.72,98.0,24.14,24.9,20.0,0.14,2.81,,,,,,,,,,,
Eric Dier,30,Defender,Tottenham Hotspur,Premier League,England,8.744845360824744,119.0,24.0,2.49,85.0,62.32,0.8,59.09,0.26,1669.0,1950.0,,,,,,,,,,,,,,,,,,,
Erling Haaland,23,Forward,Manchester City,Premier League,Norway,9.50515463917526,,,,,,,13.43,,,,,,,10.14,11.5,,,,0.31,3.03,1.91,0.84,0.78,2.85,77.0,,,,
Ethan Pinnock,30,Defender,Brentford,Premier League,Jamaica,9.012886597938145,148.0,27.0,3.32,90.0,35.93,0.21,35.93,0.11,800.0,1006.0,,,,,,,,,,,,,,,,,,,
Ezri Konsa,26,Defender,Aston Villa,Premier League,England,8.824742268041238,164.0,23.0,1.46,87.0,49.39,0.33,47.97,0.19,1617.0,1823.0,,,,,,,,,,,,,,,,,,,
Fabian Schär,32,Defender,Newcastle United,Premier League,Switzerland,8.976804123711341,183.0,19.0,2.92,89.0,50.13,0.56,49.67,0.34,1388.0,1788.0,,,,,,,,,,,,,,,,,,,
Fabinho,30,Midfielder,Liverpool,Premier League,Brazil,8.917525773195877,,,,74.0,,,49.53,,1583.0,1783.0,,,,43.97,53.22,,,,,,,,,,,0.5,0.07,0.61,18.0
Gabriel Jesus,26,Forward,Arsenal,Premier League,Brazil,9.159793814432991,,,,,,,25.81,,,,,,,21.04,23.73,,,,1.54,2.19,1.39,2.78,2.43,7.46,189.0,,,,
Gabriel Magalhães,26,Defender,Arsenal,Premier League,Brazil,9.015463917525775,188.0,26.0,2.53,90.0,62.82,0.69,62.66,0.24,2143.0,2381.0,,,,,,,,,,,,,,,,,,,
Gabriel Martinelli,22,Forward,Arsenal,Premier League,Brazil,9.059278350515465,,,,,,,27.14,,,,,,,22.36,25.83,,,,1.64,1.5,1.03,1.86,1.19,4.52,187.0,,,,
Gavin Bazunu,22,Goalkeeper,Southampton,Premier League,Republic of Ireland,8.747422680412372,,,,,,,32.19,,,998.0,56.1,2.23,69.0,17.65,17.65,18.0,0.06,2.23,,,,,,,,,,,
Granit Xhaka,31,Midfielder,Arsenal,Premier League,Switzerland,9.136597938144332,,,,81.0,,,42.05,,1349.0,1556.0,,,,36.46,40.42,,,,,,,,,,,1.27,0.42,1.41,47.0
Harrison Reed,29,Midfielder,Fulham,Premier League,England,8.945876288659795,,,,78.0,,,32.19,,923.0,1159.0,,,,25.64,29.7,,,,,,,,,,,0.89,0.22,1.03,32.0
Harry Kane,30,Forward,Tottenham Hotspur,Premier League,England,9.31701030927835,,,,,,,22.32,,,,,,,16.22,16.27,,,,0.86,2.7,1.71,1.49,1.44,4.39,114.0,,,,
Harvey Barnes,26,Midfielder,Leicester City,Premier League,England,8.806701030927837,,,,80.0,,,20.97,,508.0,692.0,,,,15.39,17.38,,,,,,,,,,,0.58,0.46,0.65,19.0
Heung-Min Son,31,Forward,Tottenham Hotspur,Premier League,South Korea,8.987113402061857,,,,,,,21.31,,,,,,,17.4,19.51,,,,0.86,1.54,1.22,1.7,1.15,3.14,290.0,,,,
Hugo Lloris,37,Goalkeeper,Tottenham Hotspur,Premier League,France,8.894329896907218,,,,,,,24.68,,,617.0,66.95,3.16,79.0,18.32,18.69,17.0,0.08,3.22,,,,,,,,,,,
Idrissa Gueye,34,Midfielder,Everton,Premier League,Senegal,8.896907216494846,,,,79.0,,,36.56,,985.0,1170.0,,,,30.78,35.08,,,,,,,,,,,0.38,0.03,0.43,12.0
Ilkay Gundogan,33,Midfielder,Manchester City,Premier League,Germany,9.103092783505154,,,,76.0,,,49.26,,1347.0,1527.0,,,,43.45,51.39,,,,,,,,,,,1.26,0.46,1.49,39.0
Illan Meslier,24,Goalkeeper,Leeds United,Premier League,France,8.863402061855671,,,,,,,24.79,,,818.0,58.23,2.79,92.0,13.76,13.76,26.0,0.15,2.79,,,,,,,,,,,
Issa Diop,27,Defender,Fulham,Premier League,France,8.95360824742268,71.0,17.0,1.52,80.0,61.28,0.72,54.72,0.67,1187.0,1368.0,,,,,,,,,,,,,,,,,,,
